,Unnamed: 0,site_id,space_total,space_occupied,space_vacant,long,lati,address,Cluster
0,0,0,37,0,37,121.53044,25.01493,汀洲路三段60巷2弄路側(A舍北側),0
1,1,1,32,0,32,121.52917,25.01466,水源舍區C南側,0
2,2,2,18,0,18,121.52997,25.01411,思源街16號之1旁,0
3,3,3,10,1,9,121.52895,25.01391,檔案展示館東北側,0
4,4,4,30,7,23,121.53009,25.01525,汀洲路三段60巷2弄路側(B舍北側),0
5,5,5,42,0,42,121.54531,25.01729,男八舍東側,1
6,6,6,23,1,22,121.53759,25.01408,仰萃樓東南側,3
7,7,7,45,13,32,121.53404,25.01839,農業陳列館北側,5
8,8,8,11,0,11,121.53673,25.01355,管理學院二號館北側,3
9,9,9,10,10,0,121.53844,25.01761,土木工程學系所南側,4
10,10,10,53,0,53,121.53436,25.01547,女一舍北側,5
11,11,11,30,8,14,121.53902,25.01937,女九舍西南側,2
12,12,12,20,19,1,121.5376,25.01846,小福樓東側,4
13,13,13,27,19,8,121.54251,25.01616,基隆路三段/基隆路三段156巷口北側,1
14,14,14,26,24,2,121.54059,25.01857,工學院東南側,1
15,15,15,19,7,4,121.53783,25.02108,天文數學館西南側,2
16,16,16,16,6,10,121.5404,25.01941,心理學系南側,1
17,17,17,10,8,2,121.53585,25.01793,文學院西側,5
18,18,18,10,0,10,121.53535,25.01627,生化科技學系西側,5
19,19,19,10,0,10,121.53718,25.01666,生物系館西側,4
20,20,20,33,7,26,121.53583,25.0198,田徑場東側,2
21,21,21,20,0,20,121.53791,25.01595,共同教學館東北側,3
22,22,22,12,2,10,121.53786,25.01566,共同教學館東南側,3
23,23,23,27,2,25,121.53786,25.01511,鹿鳴廣場人行道側,3
24,24,24,12,4,8,121.53798,25.01345,公館停車場西北側,3
25,25,25,10,0,10,121.53635,25.01603,行政大樓西側,5
26,26,26,10,7,3,121.54398,25.01754,明達館西側,1
27,27,27,10,2,8,121.53574,25.01699,物理文物廳北側,5
28,28,28,20,16,4,121.53633,25.02157,物理系館南側,2
29,29,29,42,19,23,121.54145,25.02053,社科院西側,1
30,30,30,25,12,13,121.54175,25.01987,社會及社工館南側,1
31,31,31,10,7,3,121.53906,25.02074,思亮館東南側,2
32,32,32,25,1,24,121.53583,25.01561,椰林小舖旁,5
33,33,33,19,0,19,121.53992,25.02036,計算機網路資訊中心南側,2
34,34,34,12,5,7,121.53868,25.01881,原子與分子科學研究所東北側,4
35,35,35,10,0,10,121.53569,25.01751,校史館南側,5
36,36,36,10,8,2,121.53825,25.01548,動物博物館西側,3
37,37,37,40,15,17,121.53995,25.01761,第一學生活動中心東南側,4
38,38,38,22,3,17,121.54195,25.01922,博理館西側,1
39,39,39,56,5,51,121.536,25.0189,博雅館西側,2
40,40,40,10,4,6,121.53888,25.01704,森林系學系北側,4
41,41,41,19,0,19,121.53455,25.01698,植物魚類標本館一號館北側,5
42,42,42,10,0,10,121.53686,25.01539,進修教育大樓,3
43,43,43,11,9,2,121.53909,25.01337,雅頌廣場東南側,3
44,44,44,10,1,9,121.53781,25.01703,園藝暨景觀學系北側,4
45,45,45,18,13,5,121.53846,25.0196,新生教學館南側,2
46,46,46,10,5,5,121.54305,25.019,新聞研究所南側,1
47,47,47,14,4,10,121.54247,25.01857,電機二館南側,1
48,48,48,10,7,3,121.53928,25.01804,圖書資訊館北側,4
49,49,49,30,11,19,121.54031,25.0169,圖書館西南側,4
50,50,50,20,3,17,121.54347,25.01995,霖澤館南側,1
51,51,51,10,6,4,121.54242,25.01791,獸醫系館南側,1
52,52,52,40,21,19,121.53591,25.02112,體育館東側,2
